Player,Season,VORP,DWS,PER,FTA,TOV,PTS,AllNBA_pred_proba,Class
Chris Mullin,1992,2.5,1.3,19.0,4.9,3.0,25.9,0.03,0
Reggie Lewis,1992,3.1,3.0,17.4,4.7,1.7,20.8,0.02,0
Micheal Williams,1992,3.1,1.8,19.0,6.1,3.0,15.1,0.02,0
Kevin Willis,1992,0.3,3.0,17.4,3.8,2.7,17.9,0.02,0
Clyde Drexler,1992,3.2,2.5,20.7,6.0,2.3,19.9,0.02,0
Hersey Hawkins,1992,3.3,1.9,18.3,6.0,2.2,20.3,0.02,0
Shaquille O'Neal,1993,7.2,4.8,28.5,10.5,2.7,29.3,1.0,3
David Robinson,1993,11.4,6.7,30.7,11.6,3.2,29.8,0.99,2
Karl Malone,1993,6.4,6.1,22.9,9.0,2.9,25.2,0.98,1
Hakeem Olajuwon,1993,7.3,7.9,25.3,6.8,3.4,27.3,0.98,1
Scottie Pippen,1993,6.8,6.0,23.2,5.7,3.2,22.0,0.96,1
John Stockton,1993,7.5,4.0,22.5,4.1,3.2,15.1,0.95,1
Shawn Kemp,1993,4.2,6.0,22.9,6.2,3.3,18.1,0.92,2
Charles Barkley,1993,4.2,3.3,22.8,7.0,3.2,21.6,0.91,2
Latrell Sprewell,1993,3.5,3.2,15.9,5.6,2.8,21.0,0.83,1
Mark Price,1993,5.0,2.4,22.7,3.5,2.5,17.3,0.74,3
Dominique Wilkins,1993,3.0,2.8,21.4,7.1,2.3,26.0,0.72,3
Kevin Johnson,1993,3.4,1.7,20.6,6.9,3.5,20.0,0.68,2
Mitch Richmond,1993,2.7,1.2,17.7,6.6,2.8,23.4,0.65,2
Gary Payton,1993,3.7,4.1,17.8,3.4,2.1,16.5,0.63,3
Derrick Coleman,1993,4.4,4.4,21.4,7.4,2.7,20.2,0.61,3
Patrick Ewing,1993,5.5,8.0,22.9,7.4,3.3,24.5,0.35,0
Charles Oakley,1993,2.6,6.8,15.3,3.8,2.4,11.8,0.22,0
Reggie Miller,1993,4.5,2.9,20.2,5.6,2.2,19.9,0.19,0
Kevin Willis,1993,1.7,5.1,19.4,4.7,2.4,19.1,0.13,0
Dikembe Mutombo,1993,3.7,6.4,17.9,5.4,2.5,12.0,0.11,0
Alonzo Mourning,1993,1.7,2.5,21.7,9.5,3.3,21.5,0.1,0
Mookie Blaylock,1993,5.7,5.3,19.6,2.0,2.4,13.8,0.1,0
Glen Rice,1993,3.6,2.9,18.5,3.5,1.6,21.1,0.09,0
Rod Strickland,1993,4.1,3.0,19.8,5.7,3.1,17.2,0.08,0
Eric Murdock,1993,3.8,2.2,20.3,3.5,2.5,15.3,0.03,0
Clifford Robinson,1993,2.3,3.7,17.4,5.6,2.1,20.1,0.02,0
Tom Gugliotta,1993,2.4,2.7,17.9,4.0,3.2,17.1,0.02,0
Chuck Nevitt,1993,0.0,0.0,46.0,6.0,1.0,3.0,0.02,0
Kenny Anderson,1993,3.4,3.2,18.2,5.2,3.2,18.8,0.02,0
Christian Laettner,1993,1.9,2.6,16.8,6.8,3.7,16.8,0.01,0
Karl Malone,1994,6.0,5.8,25.1,8.5,2.9,26.7,1.0,1
Hakeem Olajuwon,1994,5.3,5.6,26.0,7.5,3.3,27.8,1.0,3
Shaquille O'Neal,1994,5.7,4.4,28.6,10.8,2.6,29.3,1.0,2
David Robinson,1994,8.7,6.7,29.1,10.5,2.9,27.6,1.0,1
Charles Barkley,1994,5.0,3.3,25.2,7.5,2.2,23.0,0.98,2
John Stockton,1994,7.9,4.0,23.3,3.7,3.3,14.7,0.95,1
Reggie Miller,1994,4.9,2.8,20.1,5.3,1.9,19.6,0.9,3
Clyde Drexler,1994,5.9,3.7,22.4,5.8,2.4,21.8,0.88,3
Scottie Pippen,1994,7.2,6.7,22.6,5.6,3.4,21.4,0.86,1
Shawn Kemp,1994,2.5,4.7,21.7,7.1,3.2,18.7,0.83,2
Mitch Richmond,1994,3.2,3.1,17.2,5.4,2.9,22.8,0.81,2
Gary Payton,1994,5.2,3.5,21.3,4.2,2.5,20.6,0.79,2
Anfernee Hardaway,1994,4.5,2.5,20.8,6.0,3.4,20.9,0.78,1
Detlef Schrempf,1994,4.7,3.1,20.3,6.4,2.1,19.2,0.7,3
Dennis Rodman,1994,1.5,3.2,16.6,2.3,2.0,7.1,0.69,3
Patrick Ewing,1994,4.1,6.5,21.9,7.1,3.2,23.9,0.23,0
Rod Strickland,1994,4.2,3.2,21.6,5.9,3.3,18.9,0.19,0
Dana Barros,1994,5.8,2.2,20.9,4.7,3.0,20.6,0.19,0
Mookie Blaylock,1994,5.4,4.8,19.2,2.7,3.0,17.2,0.16,0
Alonzo Mourning,1994,2.3,5.1,20.1,8.4,3.1,21.3,0.13,0
Clifford Robinson,1994,3.8,3.3,18.3,5.1,2.1,21.3,0.11,0
Glen Rice,1994,4.0,2.1,19.7,4.5,1.9,22.3,0.11,0
Jamal Mashburn,1994,2.0,1.3,17.3,7.6,2.9,24.1,0.06,0
Michael Jordan,1994,1.1,1.1,22.1,8.0,2.1,26.9,0.05,0
Derrick Coleman,1994,1.8,2.7,19.0,8.8,3.1,20.5,0.04,0
Mark Price,1994,2.4,1.4,20.6,3.4,3.0,15.8,0.03,0
Jim Jackson,1994,2.0,0.6,18.9,7.5,3.1,25.7,0.03,0
Dikembe Mutombo,1994,2.9,5.2,17.0,4.6,2.3,11.5,0.03,0
Terrell Brandon,1994,2.8,3.0,18.7,2.8,2.1,13.3,0.02,0
Vlade Divac,1994,4.1,4.2,20.5,4.8,2.6,16.0,0.02,0
Michael Jordan,1995,9.8,6.2,29.4,8.0,2.4,30.4,1.0,1
Karl Malone,1995,7.1,5.3,26.0,8.6,2.4,25.7,1.0,1
David Robinson,1995,8.3,7.2,29.4,10.0,2.3,25.0,0.99,1
Hakeem Olajuwon,1995,4.9,5.2,25.5,7.6,3.4,26.9,0.99,2
Charles Barkley,1995,5.1,3.5,24.8,8.0,3.1,23.2,0.95,3
Anfernee Hardaway,1995,6.9,3.4,24.6,7.1,2.8,21.7,0.95,1
Gary Payton,1995,5.2,5.6,19.6,3.8,3.2,19.3,0.93,2
Shaquille O'Neal,1995,2.8,3.0,26.4,9.5,2.9,26.6,0.86,3
Grant Hill,1995,5.6,5.7,20.9,8.1,3.3,20.2,0.86,2
John Stockton,1995,6.4,2.9,21.9,3.4,3.0,14.7,0.84,2
Scottie Pippen,1995,5.9,5.3,21.0,4.2,2.7,19.4,0.83,1
Shawn Kemp,1995,3.2,6.1,22.6,8.4,4.0,19.6,0.79,2
Mitch Richmond,1995,4.1,2.1,19.2,6.1,2.7,23.1,0.78,3
Reggie Miller,1995,4.5,2.0,20.1,6.6,2.5,21.1,0.68,3
Juwan Howard,1995,1.3,3.1,17.0,5.3,3.7,22.1,0.56,3
Terrell Brandon,1995,6.2,3.1,25.2,5.1,1.9,19.3,0.41,0
Alonzo Mourning,1995,4.2,5.5,22.7,10.2,3.7,23.2,0.27,0
Patrick Ewing,1995,2.5,6.1,20.9,6.1,2.9,22.5,0.2,0
Larry Johnson,1995,3.9,1.3,19.8,7.0,2.2,20.5,0.12,0
Kevin Johnson,1995,3.4,1.3,22.8,7.1,3.0,18.7,0.12,0
Cedric Ceballos,1995,3.1,2.8,22.1,5.2,2.1,21.2,0.11,0
Clifford Robinson,1995,3.0,4.2,16.3,6.9,2.5,21.1,0.09,0
