Player,Season,VORP,DWS,PER,FTA,TOV,PTS,AllNBA_pred_proba,Class
Mark Price,1991,4.2,1.6,22.7,4.0,2.2,17.3,0.09371225534930193,3
Detlef Schrempf,1991,3.3,2.8,19.5,5.5,2.4,17.3,0.08833252295629282,0
Reggie Miller,1991,3.6,1.7,17.6,6.3,1.9,20.7,0.0845942368168382,0
Michael Jordan,1992,10.2,5.2,29.7,7.3,2.7,32.6,0.9998188170483673,1
Hakeem Olajuwon,1992,7.8,8.0,27.3,7.0,3.2,26.1,0.9991715687516886,1
Karl Malone,1992,7.3,5.0,26.2,10.2,2.9,27.0,0.9952526844815551,1
David Robinson,1992,6.8,6.4,24.2,9.3,2.9,23.4,0.9914885714651317,3
Charles Barkley,1992,7.1,4.8,25.9,7.7,3.1,25.6,0.9889279190475292,1
Patrick Ewing,1992,4.0,8.1,20.8,6.9,3.3,24.2,0.962613098564468,2
Dominique Wilkins,1992,4.9,1.4,24.3,8.8,2.6,29.9,0.8178363958609468,2
Derrick Coleman,1992,4.4,5.1,21.2,6.9,3.2,20.7,0.753071301799849,3
Brad Daugherty,1992,4.7,3.9,22.0,6.9,2.1,20.2,0.5741066071888216,0
Scottie Pippen,1992,4.7,4.8,19.2,4.3,3.0,18.6,0.5248965773420652,3
John Stockton,1992,6.2,3.4,21.3,4.5,3.2,15.1,0.5096524694476762,2
Detlef Schrempf,1992,4.2,2.9,19.2,8.0,3.0,19.1,0.3130276116189367,0
Shawn Kemp,1992,2.6,5.1,20.4,6.4,2.8,17.8,0.26123871804160176,0
Danny Manning,1992,2.8,3.1,19.6,6.1,2.9,22.8,0.22621123015037603,0
Reggie Miller,1992,4.7,1.7,19.4,5.9,1.8,21.2,0.20582881967247163,0
Larry Johnson,1992,3.5,2.5,18.9,5.3,2.8,22.1,0.19315092864057784,2
Mark Price,1992,4.4,2.3,22.1,4.1,2.6,18.2,0.18604927246561492,1
Nick Anderson,1992,3.5,3.7,17.3,5.1,2.1,19.9,0.17287746043650318,0
Tim Hardaway,1992,3.7,1.6,19.7,5.6,3.3,21.5,0.16170749291784411,3
Larry Nance,1992,3.9,4.4,19.8,3.2,1.4,16.5,0.15741447634220934,0
Clifford Robinson,1992,2.8,4.3,18.8,5.1,2.1,19.1,0.1549659965617699,0
Clyde Drexler,1992,3.2,2.5,20.7,6.0,2.3,19.9,0.12944254463661753,0
Dikembe Mutombo,1992,2.7,5.5,17.2,6.0,2.6,13.8,0.12025743197248277,0
Chris Mullin,1992,2.5,1.3,19.0,4.9,3.0,25.9,0.10615054099414024,0
Dražen Petrović,1992,2.5,2.6,17.3,5.2,2.9,22.3,0.09623016581231017,3
Reggie Lewis,1992,3.1,3.0,17.4,4.7,1.7,20.8,0.09427989460125767,0
Ron Harper,1992,2.9,3.7,16.1,5.0,2.8,18.0,0.08969982064348711,0
John Starks,1992,3.0,4.2,16.3,4.1,2.2,17.5,0.08936987878397835,0
Terry Porter,1992,3.3,3.1,17.0,4.8,2.5,18.2,0.08704055894625354,0
Hersey Hawkins,1992,3.3,1.9,18.3,6.0,2.2,20.3,0.0810659126246709,0
David Robinson,1993,11.4,6.7,30.7,11.6,3.2,29.8,0.9999776342257759,2
Hakeem Olajuwon,1993,7.3,7.9,25.3,6.8,3.4,27.3,0.9987602882934984,1
Shaquille O'Neal,1993,7.2,4.8,28.5,10.5,2.7,29.3,0.9971280610383145,3
Patrick Ewing,1993,5.5,8.0,22.9,7.4,3.3,24.5,0.9906644037054345,0
Karl Malone,1993,6.4,6.1,22.9,9.0,2.9,25.2,0.988275670399646,1
Scottie Pippen,1993,6.8,6.0,23.2,5.7,3.2,22.0,0.9765007671592072,1
John Stockton,1993,7.5,4.0,22.5,4.1,3.2,15.1,0.807518368851439,1
Shawn Kemp,1993,4.2,6.0,22.9,6.2,3.3,18.1,0.7579286622671341,2
Derrick Coleman,1993,4.4,4.4,21.4,7.4,2.7,20.2,0.6341079855767927,3
Charles Barkley,1993,4.2,3.3,22.8,7.0,3.2,21.6,0.5694970525620029,2
Mookie Blaylock,1993,5.7,5.3,19.6,2.0,2.4,13.8,0.4414190622486286,0
Dominique Wilkins,1993,3.0,2.8,21.4,7.1,2.3,26.0,0.38347123182397824,3
Reggie Miller,1993,4.5,2.9,20.2,5.6,2.2,19.9,0.2969784399781882,0
Dikembe Mutombo,1993,3.7,6.4,17.9,5.4,2.5,12.0,0.25024746333552605,0
Mark Price,1993,5.0,2.4,22.7,3.5,2.5,17.3,0.23329538954412432,3
Rod Strickland,1993,4.1,3.0,19.8,5.7,3.1,17.2,0.20127091867963476,0
Latrell Sprewell,1993,3.5,3.2,15.9,5.6,2.8,21.0,0.17617964771548758,1
Kenny Anderson,1993,3.4,3.2,18.2,5.2,3.2,18.8,0.15479315319957548,0
Kevin Johnson,1993,3.4,1.7,20.6,6.9,3.5,20.0,0.14848748229393685,2
Alonzo Mourning,1993,1.7,2.5,21.7,9.5,3.3,21.5,0.14175914645691343,0
Kevin Willis,1993,1.7,5.1,19.4,4.7,2.4,19.1,0.12758157091227418,0
Horace Grant,1993,3.9,4.3,19.8,3.3,1.6,15.1,0.1266309037591231,0
Glen Rice,1993,3.6,2.9,18.5,3.5,1.6,21.1,0.1232726138512032,0
Gary Payton,1993,3.7,4.1,17.8,3.4,2.1,16.5,0.1185990240567344,3
Charles Oakley,1993,2.6,6.8,15.3,3.8,2.4,11.8,0.09407517399294461,0
Clifford Robinson,1993,2.3,3.7,17.4,5.6,2.1,20.1,0.0890763553639743,0
Clyde Drexler,1993,3.0,2.7,18.4,5.4,2.5,19.2,0.08581210242341082,0
Mitch Richmond,1993,2.7,1.2,17.7,6.6,2.8,23.4,0.07577937357797579,2
John Starks,1993,2.4,3.7,16.0,4.2,3.1,19.0,0.07406955110892033,0
Stacey Augmon,1993,3.1,4.0,17.9,5.3,1.8,14.8,0.06636162967947908,0
David Robinson,1994,8.7,6.7,29.1,10.5,2.9,27.6,0.9996216758252192,1
Shaquille O'Neal,1994,5.7,4.4,28.6,10.8,2.6,29.3,0.9894233029332594,2
Karl Malone,1994,6.0,5.8,25.1,8.5,2.9,26.7,0.9883901676132618,1
Scottie Pippen,1994,7.2,6.7,22.6,5.6,3.4,21.4,0.9865269285913295,1
Hakeem Olajuwon,1994,5.3,5.6,26.0,7.5,3.3,27.8,0.983881734813383,3
Patrick Ewing,1994,4.1,6.5,21.9,7.1,3.2,23.9,0.9202995825516408,0
John Stockton,1994,7.9,4.0,23.3,3.7,3.3,14.7,0.848203024196558,1
Clyde Drexler,1994,5.9,3.7,22.4,5.8,2.4,21.8,0.794035488768808,3
Charles Barkley,1994,5.0,3.3,25.2,7.5,2.2,23.0,0.7671653887504251,2
Gary Payton,1994,5.2,3.5,21.3,4.2,2.5,20.6,0.5416728176054838,2
Mookie Blaylock,1994,5.4,4.8,19.2,2.7,3.0,17.2,0.5310703884710694,0
Dana Barros,1994,5.8,2.2,20.9,4.7,3.0,20.6,0.5014846764364107,0
Alonzo Mourning,1994,2.3,5.1,20.1,8.4,3.1,21.3,0.43478113950639413,0
Anfernee Hardaway,1994,4.5,2.5,20.8,6.0,3.4,20.9,0.3952312939391832,1
Rod Strickland,1994,4.2,3.2,21.6,5.9,3.3,18.9,0.3634863542213226,0
Detlef Schrempf,1994,4.7,3.1,20.3,6.4,2.1,19.2,0.3457044148293883,3
Shawn Kemp,1994,2.5,4.7,21.7,7.1,3.2,18.7,0.3084332528681551,2
Reggie Miller,1994,4.9,2.8,20.1,5.3,1.9,19.6,0.30417924466737456,3
Vlade Divac,1994,4.1,4.2,20.5,4.8,2.6,16.0,0.25246698694772446,0
Clifford Robinson,1994,3.8,3.3,18.3,5.1,2.1,21.3,0.23223782366478316,0
Mitch Richmond,1994,3.2,3.1,17.2,5.4,2.9,22.8,0.21078222114642547,2
Glen Rice,1994,4.0,2.1,19.7,4.5,1.9,22.3,0.17604405951022659,0
Toni Kukoč,1994,4.1,3.6,19.8,3.9,2.0,15.7,0.1320032832696077,0
Larry Johnson,1994,3.2,3.6,17.1,4.4,2.6,18.8,0.11644740004788427,0
Derrick Coleman,1994,1.8,2.7,19.0,8.8,3.1,20.5,0.09292686670455164,0
