Player,Season,VORP,DWS,PER,FTA,TOV,PTS,Rookie,RookieNBA_pred_proba,Class
Steve Smith,1991,0.3,0.8,12.5,2.1,2.5,12.0,1,0.93,1
Stanley Roberts,1991,0.2,1.4,16.3,3.6,1.4,10.4,1,0.92,2
Mark Macon,1991,-1.4,2.3,8.3,2.4,2.0,10.6,1,0.82,2
Rick Fox,1991,0.2,1.9,12.2,2.3,1.5,8.0,1,0.75,2
Terrell Brandon,1991,-0.1,1.5,12.8,1.5,1.7,7.4,1,0.68,2
Paul Graham,1991,1.0,1.7,14.7,2.2,1.2,10.1,1,0.27,0
Doug Smith,1991,-0.6,1.6,11.9,1.6,1.3,8.8,1,0.26,0
Victor Alexander,1991,0.0,1.4,13.9,1.9,1.1,7.4,1,0.17,0
Bison Dele,1991,0.3,1.2,17.1,3.0,1.8,9.1,1,0.17,0
Mike Iuzzolino,1991,0.3,0.3,13.3,2.5,1.8,9.3,1,0.08,0
Carl Thomas,1991,-0.1,0.0,6.4,2.0,1.0,12.0,1,0.08,0
Donald Hodge,1991,-0.1,0.8,13.8,2.9,1.5,8.4,1,0.06,0
Kenny Anderson,1991,0.1,1.1,12.8,1.5,1.5,7.0,1,0.06,0
Greg Anthony,1991,0.0,2.0,10.6,1.9,1.2,5.5,1,0.04,0
Dale Davis,1991,0.2,1.5,13.3,2.4,0.8,6.2,1,0.04,0
Robert Pack,1991,-0.1,1.1,10.5,1.8,1.3,4.6,1,0.01,0
Derek Strong,1991,0.0,0.0,3.2,4.0,1.0,3.0,1,0.01,0
Kevin Lynch,1991,-0.6,0.4,7.7,0.8,0.8,4.1,1,0.0,0
Luc Longley,1991,-0.6,1.1,10.1,1.2,1.3,4.3,1,0.0,0
Tracy Moore,1991,-0.1,0.4,11.6,1.9,1.0,8.5,1,0.0,0
Chris Corchiani,1991,0.0,0.6,12.1,2.0,1.5,5.0,1,0.0,0
LaBradford Smith,1991,-0.5,0.7,9.6,1.2,1.3,5.1,1,0.0,0
Pete Chilcutt,1991,-0.2,0.7,11.2,0.4,0.6,3.6,1,0.0,0
David Benoit,1991,-0.3,1.5,12.1,1.3,0.9,5.6,1,0.0,0
Greg Sutton,1991,-0.5,0.8,7.8,0.7,1.0,3.7,1,0.0,0
Christian Laettner,1992,1.3,2.8,17.3,6.8,3.4,18.2,1,1.0,1
Richard Dumas,1992,1.2,1.9,18.6,4.5,1.9,15.8,1,1.0,2
Shaquille O'Neal,1992,4.3,6.0,22.9,8.9,3.8,23.4,1,0.99,1
LaPhonso Ellis,1992,2.0,3.8,16.6,3.9,1.9,14.7,1,0.97,1
Clarence Weatherspoon,1992,0.1,2.2,15.0,5.0,2.1,15.6,1,0.97,2
Latrell Sprewell,1992,1.5,1.8,13.6,3.7,2.6,15.4,1,0.97,2
Alonzo Mourning,1992,1.9,3.4,20.8,8.1,3.0,21.0,1,0.97,1
Tom Gugliotta,1992,0.8,3.2,14.6,3.5,2.8,14.7,1,0.95,1
Robert Horry,1992,0.8,3.2,12.1,2.5,2.0,10.1,1,0.94,2
Walt Williams,1992,0.5,1.2,15.0,5.1,3.0,17.0,1,0.92,2
Sean Rooks,1992,-0.2,0.7,14.7,5.4,2.2,13.5,1,0.29,0
Lloyd Daniels,1992,0.4,1.3,12.9,1.3,1.3,9.1,1,0.27,0
Todd Day,1992,0.2,1.1,14.5,4.2,1.7,13.8,1,0.25,0
Anthony Peeler,1992,0.6,1.0,13.9,2.7,1.6,10.4,1,0.25,0
Anthony Avent,1992,-2.0,1.8,10.2,2.1,1.7,9.8,1,0.17,0
Adam Keefe,1992,-0.1,1.4,13.6,2.9,1.2,6.6,1,0.13,0
Bryant Stith,1992,0.0,0.8,11.7,3.1,1.1,8.9,1,0.11,0
Harold Miner,1992,0.0,0.7,14.3,2.9,1.3,10.3,1,0.1,0
Jim Jackson,1992,-0.6,0.2,11.0,3.3,4.1,16.3,1,0.08,0
Walter Bond,1992,-1.2,0.4,9.0,2.3,1.5,8.0,1,0.06,0
Andre Spencer,1992,-0.1,0.3,12.8,2.7,1.3,9.4,1,0.05,0
Thomas Jordan,1992,-0.2,0.1,6.9,4.3,3.0,11.0,1,0.04,0
Oliver Miller,1992,0.8,1.9,12.7,1.8,1.9,5.6,1,0.03,0
Byron Houston,1992,-0.5,1.3,10.6,2.5,1.1,5.3,1,0.03,0
Doug Overton,1992,-0.2,0.4,11.8,1.8,1.6,8.1,1,0.03,0
Doug Christie,1992,0.0,0.4,12.4,2.9,2.2,6.2,1,0.02,0
Keith Jennings,1992,0.2,0.1,18.5,2.3,0.9,8.6,1,0.01,0
Marcus Webb,1992,0.0,0.0,20.1,2.3,0.6,4.3,1,0.01,0
Hubert Davis,1992,-0.1,1.2,8.7,1.1,0.9,5.4,1,0.0,0
Tony Bennett,1992,-0.2,0.4,9.3,0.5,0.7,3.7,1,0.0,0
Chris Webber,1993,3.6,3.2,21.7,4.7,2.7,17.5,1,1.0,1
Anfernee Hardaway,1993,3.8,3.3,17.4,4.0,3.6,16.0,1,0.99,1
Dino Radja,1993,1.2,2.2,18.2,3.8,1.9,15.1,1,0.99,2
Toni Kukoč,1993,1.4,2.7,15.4,2.8,2.2,10.9,1,0.96,2
Jamal Mashburn,1993,-0.3,1.0,13.2,5.5,3.1,19.2,1,0.9,1
Nick Van Exel,1993,0.6,0.7,13.6,2.4,1.8,13.6,1,0.88,2
Isaiah Rider,1993,0.2,0.8,14.2,3.4,2.8,16.6,1,0.87,1
Vin Baker,1993,0.5,1.7,16.1,5.0,2.0,13.5,1,0.87,1
Shawn Bradley,1993,-0.5,1.6,11.6,3.4,3.0,10.3,1,0.83,2
Lindsey Hunter,1993,-0.1,1.0,12.0,1.7,2.2,10.3,1,0.76,2
Rodney Rogers,1993,0.5,2.1,12.9,2.4,1.7,8.1,1,0.28,0
Antonio Davis,1993,0.9,2.8,15.2,3.7,1.3,7.7,1,0.28,0
Chris Mills,1993,0.3,2.4,12.6,2.2,1.1,9.4,1,0.26,0
George Lynch,1993,0.9,1.5,16.1,2.3,1.2,9.6,1,0.23,0
Calbert Cheaney,1993,-0.2,0.2,14.0,2.5,1.7,12.0,1,0.18,0
Bryon Russell,1993,0.3,1.7,11.1,1.5,0.8,5.0,1,0.11,0
Sam Cassell,1993,0.4,1.8,13.1,1.6,1.4,6.7,1,0.11,0
Harold Ellis,1993,0.7,0.8,17.2,3.0,0.9,8.7,1,0.05,0
P.J. Brown,1993,1.0,2.8,12.2,1.9,0.9,5.7,1,0.05,0
Bo Outlaw,1993,0.5,0.9,14.3,2.8,0.8,6.9,1,0.05,0
Chris Jent,1993,0.0,0.1,11.0,0.7,1.7,10.3,1,0.05,0
Mitchell Butler,1993,-0.1,0.4,13.0,2.4,1.2,6.9,1,0.03,0
Bobby Hurley,1993,-0.6,0.1,8.4,1.6,2.5,7.1,1,0.02,0
Allan Houston,1993,-1.5,0.1,9.0,1.4,1.3,8.5,1,0.02,0
Bill Edwards,1993,-0.1,0.1,-0.4,1.7,1.3,2.0,1,0.02,0
Popeye Jones,1993,-0.1,1.6,14.1,1.3,1.2,5.8,1,0.02,0
Corie Blount,1993,0.0,1.2,12.3,1.1,0.8,3.0,1,0.01,0
Acie Earl,1993,-1.3,0.9,9.2,2.2,1.0,5.5,1,0.01,0
Scott Burrell,1993,-0.1,0.7,10.4,1.4,0.9,4.8,1,0.0,0
Terry Dehere,1993,-0.7,0.2,9.5,1.3,1.0,5.3,1,0.0,0
Brian Grant,1994,1.0,3.4,16.5,4.5,2.0,13.2,1,0.99,1
Glenn Robinson,1994,0.8,2.2,16.6,6.2,3.9,21.9,1,0.97,1
Juwan Howard,1994,-0.1,1.5,15.0,4.5,2.6,17.0,1,0.97,2
Grant Hill,1994,2.7,1.8,19.0,7.3,2.9,19.9,1,0.96,1
Jason Kidd,1994,2.1,2.6,15.1,3.5,3.2,11.7,1,0.96,1
Eddie Jones,1994,2.1,2.1,16.3,2.6,1.2,14.0,1,0.95,1
Eric Montross,1994,-0.6,1.8,12.1,3.4,1.4,10.0,1,0.94,2
Jalen Rose,1994,1.1,1.5,15.1,2.9,2.0,8.2,1,0.88,2
Wesley Person,1994,0.9,0.8,14.2,1.3,1.0,10.4,1,0.69,2
Sharone Wright,1994,-0.9,1.9,14.0,3.6,1.9,11.4,1,0.35,0
Khalid Reeves,1994,1.4,1.4,16.9,2.9,2.0,9.2,1,0.29,0
Lamond Murray,1994,-0.9,1.1,11.6,3.3,2.0,14.1,1,0.24,0
Donyell Marshall,1994,-0.7,1.2,12.5,3.1,1.6,12.6,1,0.23,0
Michael Smith,1994,0.5,2.8,13.5,3.2,1.3,6.9,1,0.12,0
Carlos Rogers,1994,-0.3,0.8,14.3,3.0,1.7,8.9,1,0.1,0
Clifford Rozier,1994,-0.9,1.2,11.5,2.3,1.3,6.8,1,0.08,0
Aaron McKie,1994,0.5,1.2,13.3,1.6,0.9,6.5,1,0.05,0
Dickey Simpkins,1994,-0.4,0.8,11.0,1.2,0.8,3.5,1,0.03,0
Ryan Lorthridge,1994,-0.1,0.2,12.9,2.4,1.5,7.4,1,0.02,0
Chris Childs,1994,-0.1,0.8,11.2,1.4,1.4,5.8,1,0.02,0
Darrick Martin,1994,-0.5,0.3,10.3,1.9,1.8,7.5,1,0.01,0
Greg Minor,1994,0.5,0.6,14.7,1.2,0.7,6.0,1,0.01,0
Reggie Slater,1994,0.0,0.3,14.5,2.2,1.0,4.8,1,0.01,0
Anthony Tucker,1994,-0.3,0.9,9.2,1.3,0.9,3.9,1,0.01,0
B.J. Tyler,1994,-0.6,0.5,8.5,0.9,1.8,3.5,1,0.0,0
Jamie Watson,1994,0.1,0.9,9.6,0.9,0.9,3.3,1,0.0,0
Derrick Alston,1994,-0.2,1.0,11.6,1.9,0.8,4.7,1,0.0,0
Eric Piatkowski,1994,0.4,0.4,13.9,1.4,0.8,7.0,1,0.0,0
Bill Curley,1994,-0.5,0.4,9.0,0.7,0.5,2.7,1,0.0,0
