Player,Season,WS/48,PER,PTS,TRB,AST,STL,BLK,Rookie,ClassRookie
Thomas Jordan,1992,-0.1,6.9,11.0,4.8,0.8,0.8,1.3,1,0
Lloyd Daniels,1992,0.056,12.9,9.1,2.8,1.9,0.5,0.4,1,0
Harold Miner,1992,0.069,14.3,10.3,2.0,1.0,0.5,0.1,1,0
Keith Jennings,1992,0.205,18.5,8.6,1.4,2.9,0.5,0.0,1,0
Oliver Miller,1992,0.07,12.7,5.6,4.9,2.1,0.7,1.8,1,0
Doug Overton,1992,0.028,11.8,8.1,2.4,3.5,0.7,0.1,1,0
Adam Keefe,1992,0.102,13.6,6.6,5.3,1.0,0.7,0.2,1,0
Kevin Johnson,1992,0.148,18.1,16.1,2.1,7.8,1.7,0.4,0,0
Doc Rivers,1992,0.166,14.6,7.8,2.5,5.3,1.6,0.1,0,0
Dexter Cambridge,1992,0.022,12.1,7.0,3.2,1.1,0.5,0.1,1,0
Byron Houston,1992,0.068,10.6,5.3,4.0,0.9,0.6,0.5,1,0
Terrell Brandon,1992,0.117,16.7,8.8,2.2,3.7,1.0,0.3,0,0
Gary Grant,1992,0.049,11.7,6.6,1.9,4.8,1.4,0.1,0,0
Nick Van Exel,1993,0.061,13.6,13.6,2.9,5.8,1.0,0.1,1,2
Vin Baker,1993,0.082,16.1,13.5,7.6,2.0,0.7,1.4,1,1
Anfernee Hardaway,1993,0.112,17.4,16.0,5.4,6.6,2.3,0.6,1,1
Jamal Mashburn,1993,0.014,13.2,19.2,4.5,3.4,1.1,0.2,1,1
Isaiah Rider,1993,0.034,14.2,16.6,4.0,2.6,0.7,0.4,1,1
Dino Radja,1993,0.124,18.2,15.1,7.2,1.4,0.9,0.8,1,2
Toni Kukoč,1993,0.086,15.4,10.9,4.0,3.4,1.1,0.4,1,2
Chris Webber,1993,0.154,21.7,17.5,9.1,3.6,1.2,2.2,1,1
Lindsey Hunter,1993,-0.017,12.0,10.3,2.3,4.8,1.5,0.1,1,2
Shawn Bradley,1993,-0.039,11.6,10.3,6.2,2.0,0.9,3.0,1,2
Chris Mills,1993,0.096,12.6,9.4,5.1,1.6,0.7,0.6,1,0
Antonio Davis,1993,0.139,15.2,7.7,6.2,0.7,0.6,1.0,1,0
Calbert Cheaney,1993,0.035,14.0,12.0,2.9,1.9,1.0,0.2,1,0
Chris Jent,1993,0.1,11.0,10.3,5.0,2.3,0.0,0.0,1,0
George Lynch,1993,0.107,16.1,9.6,5.8,1.4,1.4,0.4,1,0
Bo Outlaw,1993,0.127,14.3,6.9,5.7,1.0,1.0,1.0,1,0
Harold Ellis,1993,0.146,17.2,8.7,3.1,0.6,1.5,0.0,1,0
Rodney Rogers,1993,0.067,12.9,8.1,2.9,1.3,0.8,0.6,1,0
P.J. Brown,1993,0.105,12.2,5.7,6.2,1.2,0.9,1.2,1,0
Popeye Jones,1993,0.098,14.1,5.8,7.5,1.2,0.8,0.4,1,0
Reggie Jordan,1993,0.142,20.1,5.4,2.9,1.1,0.6,0.2,1,0
Bobby Hurley,1993,-0.044,8.4,7.1,1.8,6.1,0.7,0.1,1,0
Gheorghe Mureșan,1993,0.094,17.4,5.6,3.6,0.3,0.5,0.9,1,0
Mitchell Butler,1993,0.04,13.0,6.9,3.0,1.0,0.7,0.3,1,0
Terry Cummings,1993,0.076,12.7,7.3,5.0,0.8,0.5,0.2,0,0
Stacey King,1993,0.041,11.6,7.9,4.9,1.2,0.6,0.9,0,0
Byron Scott,1993,0.123,17.6,10.4,1.6,2.0,0.9,0.1,0,0
Michael Adams,1993,0.063,14.2,12.1,2.6,6.9,1.4,0.1,0,0
Clyde Drexler,1993,0.14,18.4,19.2,6.5,4.9,1.4,0.5,0,0
