Player,Season,VORP,DWS,PER,G,FTA,TOV,PTS,DRB,AllNBA,Class
D.J. White,2009,0.2,0.2,25.9,12.0,0.8,0.3,4.9,1.1,0,0
Roko Ukić,2009,0.0,0.1,12.2,13.0,0.8,0.5,3.1,0.2,0,0
Mike Harris,2009,-0.1,0.1,7.2,13.0,0.8,0.7,2.2,1.1,0,0
Alando Tucker,2009,0.0,0.0,13.4,15.0,1.4,0.3,3.4,0.3,0,0
Primož Brezec,2009,-0.2,0.1,4.9,21.0,0.3,0.1,0.9,0.6,0,0
Renaldo Balkman,2009,0.0,0.2,6.6,13.0,0.5,0.5,1.1,1.5,0,0
Sean Marks,2009,-0.1,0.0,9.0,14.0,0.4,0.1,0.7,0.6,0,0
Desmond Mason,2009,-0.1,0.0,6.2,5.0,0.8,0.8,2.6,1.8,0,0
Francisco Elson,2009,-0.1,0.1,5.5,12.0,0.4,0.1,1.0,0.7,0,0
Eddy Curry,2009,-0.3,0.0,-1.9,7.0,2.4,1.9,3.7,1.3,0,0
Mike Wilks,2009,-0.1,0.0,5.9,4.0,1.0,1.0,4.0,0.8,0,0
Kareem Rush,2009,0.0,0.1,4.8,7.0,0.0,0.4,1.3,0.7,0,0
Shavlik Randolph,2009,-0.1,0.1,6.2,6.0,0.3,0.5,2.3,1.2,0,0
Patrick O'Bryant,2009,-0.1,0.1,9.9,11.0,0.5,0.5,1.7,0.8,0,0
Travis Diener,2009,0.0,0.1,7.6,9.0,0.4,0.0,0.7,0.3,0,0
Mike James,2009,0.0,0.0,5.5,4.0,2.0,1.3,4.5,0.5,0,0
Brian Cook,2009,-0.1,0.0,2.4,15.0,0.5,0.4,1.4,0.5,0,0
Marcus Haislip,2009,0.0,0.1,15.4,10.0,0.5,0.3,2.5,0.6,0,0
Yakhouba Diawara,2009,-0.1,0.0,-3.7,6.0,0.0,0.5,0.8,0.5,0,0
Will Conroy,2009,-0.1,0.0,-2.4,5.0,0.4,0.8,1.2,0.6,0,0
Othello Hunter,2009,-0.1,0.0,7.9,7.0,0.6,0.4,1.6,0.9,0,0
Alexis Ajinça,2009,0.0,0.0,6.3,6.0,0.2,0.3,1.7,0.5,0,0
Joe Alexander,2009,0.0,0.0,2.8,8.0,0.4,0.0,0.5,0.4,0,0
Jason Hart,2009,0.0,0.0,8.7,5.0,0.0,0.6,0.4,0.4,0,0
Paul Davis,2009,0.0,0.0,33.3,2.0,1.0,0.0,2.5,0.0,0,0
Ryan Bowen,2009,0.0,0.0,31.3,1.0,2.0,0.0,4.0,1.0,0,0
Dwayne Jones,2009,0.0,0.0,1.4,2.0,0.0,0.0,0.0,1.0,0,0
Monta Ellis,2010,2.3,1.7,18.6,80.0,5.4,3.2,24.1,3.0,0,0
LaMarcus Aldridge,2010,3.4,3.5,21.5,81.0,5.5,1.9,21.8,5.3,1,3
Luol Deng,2010,3.0,5.2,15.5,82.0,4.1,1.9,17.4,4.4,0,0
Dorell Wright,2010,2.2,1.8,15.0,82.0,2.8,1.6,16.4,4.2,0,0
LeBron James,2010,7.8,5.3,27.3,79.0,8.4,3.6,26.7,6.5,1,1
Kevin Durant,2010,5.3,3.3,23.6,78.0,8.7,2.8,27.7,6.1,1,1
Pau Gasol,2010,5.2,4.7,23.3,82.0,5.2,1.7,18.8,6.9,1,2
Derrick Rose,2010,6.7,4.8,23.5,81.0,6.9,3.4,25.0,3.1,1,1
Al Jefferson,2010,1.9,2.7,20.1,82.0,3.5,1.3,18.6,6.8,0,0
Dwight Howard,2010,5.4,7.7,26.1,78.0,11.7,3.6,22.9,10.1,1,1
Jrue Holiday,2010,2.0,3.5,15.4,82.0,2.5,2.7,14.0,3.2,0,0
Ray Allen,2010,3.6,4.2,16.4,80.0,2.7,1.5,16.5,2.8,0,0
Brook Lopez,2010,1.9,1.9,19.3,82.0,6.0,2.1,20.4,3.5,0,0
Chris Paul,2010,6.7,4.4,23.7,80.0,4.8,2.2,15.9,3.6,1,3
Mike Conley,2010,2.3,3.2,15.9,81.0,3.0,2.2,13.7,2.7,0,0
Amar'e Stoudemire,2010,2.4,2.6,22.7,78.0,7.7,3.2,25.3,5.6,1,2
DeMar DeRozan,2010,-0.3,0.5,14.5,82.0,4.9,1.8,17.2,2.9,0,0
Russell Westbrook,2010,4.4,3.1,23.6,82.0,7.7,3.9,21.9,3.1,1,2
Dwyane Wade,2010,6.1,4.7,25.6,76.0,8.6,3.1,25.5,4.8,1,2
Elton Brand,2010,2.4,4.4,18.5,81.0,3.4,1.2,15.0,5.4,0,0
Chris Bosh,2010,2.3,4.3,19.4,77.0,6.1,1.8,18.7,6.5,0,0
Kobe Bryant,2010,5.0,3.5,23.9,82.0,7.1,3.0,25.3,4.1,1,1
Boris Diaw,2010,1.8,2.3,13.9,82.0,1.5,2.0,11.3,3.8,0,0
Paul Pierce,2010,4.6,5.1,19.7,80.0,5.6,2.1,18.9,5.0,0,0
Danny Granger,2010,2.9,3.2,17.8,79.0,5.9,2.6,20.5,4.3,0,0
Wesley Matthews,2010,2.0,2.3,15.5,82.0,3.8,1.7,15.9,2.6,0,0
D.J. Augustin,2010,1.5,1.3,15.9,82.0,3.6,1.9,14.4,2.3,0,0
Carmelo Anthony,2010,2.7,2.5,21.7,77.0,7.9,2.7,25.6,5.8,0,0
Raymond Felton,2010,1.8,1.8,16.6,75.0,3.2,2.9,15.5,2.9,0,0
Beno Udrih,2010,1.7,1.6,15.7,79.0,2.9,1.8,13.7,2.8,0,0
Zach Randolph,2010,3.2,3.7,22.6,75.0,5.3,2.0,20.1,7.8,1,3
Jason Richardson,2010,2.5,3.3,15.0,80.0,2.0,1.2,15.6,3.3,0,0
Al Horford,2010,3.9,3.7,20.7,77.0,2.4,1.5,15.3,7.0,1,3
Gerald Wallace,2010,2.4,3.6,16.2,71.0,5.3,2.1,15.7,6.5,0,0
Jason Kidd,2010,3.3,3.9,14.4,80.0,1.0,2.2,7.9,4.0,0,0
Andre Miller,2010,2.4,2.4,17.8,81.0,3.6,2.4,12.7,2.5,0,0
Josh Smith,2010,3.2,4.5,19.2,77.0,4.1,2.6,16.5,6.8,0,0
Lamar Odom,2010,3.7,4.0,19.4,82.0,3.0,1.7,14.4,6.5,0,0
David Lee,2010,1.1,2.0,17.8,73.0,3.7,2.3,16.5,6.8,0,0
Kevin Love,2010,4.2,2.5,24.3,73.0,6.8,2.1,20.2,10.7,0,0
Paul Millsap,2010,2.5,2.5,19.8,76.0,4.4,1.9,17.3,5.5,0,0
Kevin Martin,2010,3.5,1.5,21.4,80.0,8.4,2.3,23.5,2.9,0,0
Trevor Ariza,2010,1.0,3.8,11.3,75.0,2.6,1.6,11.0,4.6,0,0
Marc Gasol,2010,2.8,3.9,16.8,81.0,3.6,1.8,11.7,5.1,0,0
Jason Terry,2010,1.9,2.5,15.9,82.0,2.6,2.0,15.8,1.6,0,0
Kyle Lowry,2010,2.6,1.8,16.5,75.0,3.3,2.1,13.5,2.9,0,0
Tayshaun Prince,2010,0.7,0.4,15.1,78.0,2.2,1.1,14.1,3.2,0,0
John Salmons,2010,1.1,3.4,12.8,73.0,3.3,1.9,14.0,3.3,0,0
Joe Johnson,2010,1.1,1.8,16.4,72.0,3.4,2.0,18.2,3.2,0,0
Channing Frye,2010,1.1,2.1,12.8,77.0,1.4,0.9,12.7,5.8,0,0
Hedo Türkoğlu,2010,2.3,3.4,13.4,81.0,1.9,1.6,10.8,3.8,0,0
Tony Parker,2010,2.4,2.4,20.4,78.0,3.9,2.6,17.5,2.7,0,0
Rajon Rondo,2010,3.2,4.8,17.1,68.0,1.9,3.4,10.6,3.1,0,0
Nicolas Batum,2010,2.0,2.3,14.8,80.0,2.1,1.0,12.4,3.2,0,0
Dirk Nowitzki,2010,4.5,3.3,23.4,73.0,6.1,1.9,23.0,6.3,1,2
Steve Nash,2010,3.3,0.7,20.8,75.0,3.3,3.5,14.7,2.9,0,0
Stephen Curry,2010,2.7,1.3,19.4,74.0,3.1,3.1,18.6,3.2,0,0
Andre Iguodala,2010,3.2,3.5,17.2,67.0,4.5,2.1,14.1,4.9,0,0
Deron Williams,2010,3.1,1.1,21.1,65.0,6.3,3.5,20.1,3.4,0,0
Richard Jefferson,2010,1.4,2.1,12.4,81.0,2.4,1.1,11.0,3.2,0,0
David West,2010,3.0,3.4,20.4,70.0,4.7,2.0,18.9,5.3,0,0
Jeff Green,2010,0.5,2.4,12.9,75.0,3.3,1.3,13.3,3.8,0,0
Manu Ginóbili,2010,4.5,3.2,21.7,80.0,5.1,2.2,17.4,3.2,1,3
Luis Scola,2010,1.0,2.2,18.4,74.0,3.9,2.0,18.3,6.2,0,0
Metta World Peace,2010,1.3,3.2,11.2,82.0,1.7,1.1,8.5,2.0,0,0
Grant Hill,2010,0.9,1.3,14.7,80.0,3.2,1.7,13.2,3.3,0,0
Stephen Jackson,2010,0.9,2.1,14.6,67.0,4.6,3.1,18.5,3.7,0,0
Wilson Chandler,2010,1.1,1.9,14.6,72.0,2.2,1.4,15.3,4.6,0,0
Shane Battier,2010,2.0,2.2,12.3,82.0,1.1,1.0,7.6,3.5,0,0
Michael Beasley,2010,0.1,1.0,15.5,73.0,4.0,2.7,19.2,4.0,0,0
Darren Collison,2010,1.0,2.2,15.6,79.0,2.9,2.5,13.2,2.3,0,0
Travis Outlaw,2010,-0.9,1.2,8.8,82.0,2.1,0.9,9.2,3.3,0,0
Andrea Bargnani,2010,0.4,0.3,16.4,66.0,5.3,2.3,21.4,4.1,0,0
Arron Afflalo,2010,2.0,1.4,13.6,69.0,2.4,1.0,12.6,3.0,0,0
Jameer Nelson,2010,1.8,3.2,15.4,76.0,2.1,2.6,13.1,2.5,0,0
Chauncey Billups,2010,2.7,1.4,18.7,72.0,5.8,2.5,16.8,2.3,0,0
Glen Davis,2010,0.0,4.3,12.8,78.0,3.4,1.1,11.7,4.2,0,0
Derek Fisher,2010,0.0,2.5,8.9,82.0,1.3,0.9,6.8,1.7,0,0
Jamal Crawford,2010,0.6,1.4,14.2,76.0,3.4,1.9,14.2,1.4,0,0
Andrew Bogut,2010,1.9,5.1,16.7,65.0,3.3,1.9,12.8,8.0,0,0
Nenê,2010,3.2,3.1,20.4,75.0,5.4,1.8,14.5,5.7,0,0
Emeka Okafor,2010,0.9,3.8,16.0,72.0,3.6,1.7,10.3,6.3,0,0
Mike Bibby,2010,0.6,1.8,10.9,80.0,0.8,1.3,8.6,2.2,0,0
J.J. Hickson,2010,-1.1,1.7,15.6,80.0,4.6,2.2,13.8,6.0,0,0
Devin Harris,2010,1.5,1.0,17.2,71.0,5.7,2.9,15.2,2.1,0,0
Shawn Marion,2010,1.3,3.4,17.0,80.0,2.1,1.6,12.5,4.8,0,0
Roy Hibbert,2010,0.5,3.3,15.9,81.0,3.4,2.3,12.7,5.3,0,0
Kevin Garnett,2010,3.8,5.6,20.6,71.0,3.1,1.6,14.9,7.7,0,0
Serge Ibaka,2010,1.4,3.2,17.7,82.0,2.2,0.9,9.9,5.0,0,0
JaVale McGee,2010,0.9,2.5,17.4,79.0,2.9,1.3,10.1,5.2,0,0
James Harden,2010,2.2,2.1,16.4,82.0,4.2,1.3,12.2,2.6,0,0
Rodney Stuckey,2010,1.2,0.6,18.4,70.0,5.4,2.2,15.5,2.1,0,0
Andray Blatche,2010,0.6,2.1,16.9,64.0,4.4,2.7,16.8,5.4,0,0
Brandon Jennings,2010,2.0,3.3,15.6,63.0,3.9,2.3,16.2,3.0,0,0
Luke Ridnour,2010,1.1,0.8,15.0,71.0,1.9,2.2,11.8,2.3,0,0
Kirk Hinrich,2010,0.4,1.2,12.3,72.0,1.8,1.7,10.2,2.2,0,0
Tim Duncan,2010,3.5,4.0,21.9,76.0,3.4,1.6,13.4,6.7,0,0
Rudy Gay,2010,2.6,2.9,17.8,54.0,4.5,2.5,19.8,4.7,0,0
George Hill,2010,1.5,2.1,14.6,76.0,3.6,1.3,11.6,2.3,0,0
Jared Dudley,2010,2.0,1.4,15.6,82.0,2.7,0.9,10.6,2.5,0,0
Thaddeus Young,2010,1.6,3.0,18.4,82.0,2.1,1.2,12.7,3.4,0,0
Ramon Sessions,2010,1.3,0.6,19.0,81.0,5.2,2.2,13.3,2.6,0,0
Ben Gordon,2010,-0.3,0.3,12.4,82.0,2.0,1.7,11.2,1.9,0,0
Eric Gordon,2010,2.2,1.1,18.5,56.0,6.2,2.7,22.3,2.1,0,0
Tyreke Evans,2010,1.1,1.7,14.4,57.0,4.7,3.2,17.8,4.0,0,0
Danilo Gallinari,2010,1.4,1.2,15.7,62.0,6.3,1.3,15.6,4.0,0,0
Ty Lawson,2010,2.2,1.6,17.9,80.0,2.8,1.7,11.7,1.8,0,0
José Calderón,2010,1.5,0.4,16.3,68.0,1.5,2.2,9.8,2.5,0,0
Raja Bell,2010,-0.6,0.5,8.2,68.0,1.5,0.9,8.0,2.1,0,0
Ryan Gomes,2010,-0.1,1.2,9.0,76.0,1.1,0.7,7.2,2.5,0,0
Luc Mbah a Moute,2010,0.4,3.3,11.5,79.0,2.4,1.0,6.7,3.2,0,0
Anthony Parker,2010,0.0,0.6,10.5,72.0,1.3,1.1,8.3,2.6,0,0
Chuck Hayes,2010,2.1,2.4,16.2,74.0,1.9,1.2,7.9,5.1,0,0
Jodie Meeks,2010,1.1,1.9,12.5,74.0,2.3,0.8,10.5,2.0,0,0
Kris Humphries,2010,1.3,2.7,17.8,74.0,2.6,1.4,10.0,7.4,0,0
Tyson Chandler,2010,1.8,3.5,18.4,74.0,4.0,1.2,10.1,6.6,0,0
Vince Carter,2010,1.2,1.9,14.8,73.0,2.4,1.2,14.0,3.0,0,0
Thabo Sefolosha,2010,1.3,2.5,10.4,79.0,1.0,0.7,5.1,3.6,0,0
DeAndre Jordan,2010,0.7,2.6,14.8,80.0,2.7,1.3,7.1,4.6,0,0
Nick Young,2010,0.4,0.4,14.5,64.0,3.6,1.4,17.4,2.3,0,0
Marcin Gortat,2010,1.5,2.7,17.8,80.0,2.4,1.0,10.2,6.0,0,0
Carl Landry,2010,0.1,1.3,14.8,76.0,3.8,1.4,11.9,2.4,0,0
Andrei Kirilenko,2010,2.1,1.7,16.6,64.0,4.2,1.8,11.7,3.5,0,0
Brandon Bass,2010,1.1,3.1,15.9,76.0,3.1,1.3,11.2,3.8,0,0
Toney Douglas,2010,1.2,1.2,15.2,81.0,1.3,1.1,10.6,2.2,0,0
C.J. Miles,2010,0.5,1.3,14.4,78.0,2.5,1.2,12.8,2.6,0,0
J.R. Smith,2010,1.9,2.3,16.4,79.0,2.8,1.3,12.3,3.5,0,0
Marco Belinelli,2010,0.7,1.5,12.1,80.0,1.6,1.0,10.5,1.7,0,0
Samuel Dalembert,2010,-0.1,2.5,14.1,80.0,1.9,1.7,8.1,5.6,0,0
Carlos Boozer,2010,1.4,3.9,18.8,59.0,4.1,2.5,17.5,7.4,0,0
O.J. Mayo,2010,0.7,1.9,12.6,71.0,1.8,1.4,11.3,1.9,0,0
Daniel Gibson,2010,0.8,0.4,13.2,67.0,2.4,1.2,11.6,2.3,0,0
Marvin Williams,2010,0.6,1.7,13.5,65.0,2.7,1.0,10.4,3.8,0,0
Anthony Morrow,2010,0.5,0.4,12.1,58.0,1.8,0.9,13.2,2.3,0,0
Amir Johnson,2010,1.1,1.2,17.6,72.0,2.2,1.0,9.6,3.8,0,0
Antawn Jamison,2010,0.9,1.1,16.8,56.0,4.2,1.4,18.0,5.2,0,0
Rashard Lewis,2010,0.7,1.9,12.0,57.0,1.7,1.5,11.7,3.8,0,0
Rudy Fernández,2010,1.3,1.8,13.4,78.0,1.9,1.1,8.6,1.7,0,0
Jordan Farmar,2010,0.7,1.0,14.1,73.0,1.4,1.9,9.6,2.0,0,0
Gilbert Arenas,2010,-0.2,2.2,10.8,70.0,2.2,2.5,10.8,2.4,0,0
Mo Williams,2010,-0.2,0.6,13.9,58.0,3.1,2.9,14.0,2.3,0,0
Ronnie Brewer,2010,2.0,3.8,13.8,81.0,1.6,0.7,6.2,2.6,0,0
Marcus Thornton,2010,1.3,1.6,16.5,73.0,2.5,1.3,12.8,2.7,0,0
Keyon Dooling,2010,0.4,2.1,11.3,80.0,1.2,1.1,7.1,1.3,0,0
Brandon Rush,2010,0.5,1.7,10.6,67.0,1.6,1.0,9.1,2.7,0,0
Jason Thompson,2010,-0.1,1.5,13.6,75.0,2.7,1.3,8.8,4.1,0,0
Lou Williams,2010,1.9,1.6,18.9,75.0,4.7,1.4,13.7,1.6,0,0
Taj Gibson,2010,0.5,3.8,14.3,80.0,1.9,0.9,7.1,3.7,0,0
Chase Budinger,2010,0.8,1.2,14.2,78.0,1.8,0.9,9.8,2.9,0,0
DeJuan Blair,2010,0.7,3.2,17.1,81.0,1.7,1.4,8.3,4.3,0,0
Courtney Lee,2010,0.4,1.1,12.6,81.0,1.5,0.8,8.3,2.0,0,0
Jarrett Jack,2010,0.5,1.4,14.2,83.0,2.6,1.3,8.9,1.8,0,0
Spencer Hawes,2010,0.0,2.6,12.8,81.0,1.1,1.2,7.2,4.1,0,0
Kwame Brown,2010,-0.3,1.7,12.8,66.0,3.5,1.0,7.9,4.6,0,0
Omri Casspi,2010,0.6,1.3,11.7,71.0,1.4,1.0,8.6,3.3,0,0
Tracy McGrady,2010,1.1,1.1,14.9,72.0,1.8,1.4,8.0,2.8,0,0
Darko Miličić,2010,-0.3,1.7,12.2,69.0,1.7,2.2,8.8,3.3,0,0
Mike Dunleavy,2010,1.5,1.9,14.6,61.0,2.0,1.1,11.2,4.1,0,0
Willie Green,2010,-0.3,1.5,10.8,77.0,1.3,0.9,8.7,1.8,0,0
J.J. Barea,2010,0.6,1.4,14.8,81.0,1.9,1.7,9.5,1.6,0,0
Charlie Villanueva,2010,0.7,1.0,15.9,76.0,1.5,0.9,11.1,3.2,0,0
Al Harrington,2010,0.1,1.5,12.3,73.0,1.6,1.5,10.5,3.5,0,0
Gerald Henderson,2010,0.1,1.4,13.2,68.0,2.4,0.9,9.6,2.3,0,0
Kyle Korver,2010,1.3,2.4,13.0,82.0,1.1,0.7,8.3,1.7,0,0
Baron Davis,2010,1.6,1.3,17.0,58.0,2.3,2.5,13.1,2.1,0,0
Sasha Vujačić,2010,0.2,1.0,12.3,67.0,1.4,1.0,9.8,2.3,0,0
Dante Cunningham,2010,-0.5,1.7,10.7,78.0,0.8,0.7,6.2,2.3,0,0
Reggie Williams,2010,0.7,0.3,14.9,80.0,1.7,0.7,9.2,2.1,0,0
Darrell Arthur,2010,0.2,2.2,15.7,80.0,1.7,1.1,9.1,2.8,0,0
Josh McRoberts,2010,1.7,2.2,16.0,72.0,1.7,1.3,7.4,3.8,0,0
Carlos Delfino,2010,1.4,2.6,13.1,49.0,1.5,1.2,11.5,3.6,0,0
Steve Blake,2010,-0.1,1.5,7.5,79.0,0.4,0.9,4.0,1.7,0,0
Mario Chalmers,2010,0.5,2.3,10.3,70.0,0.9,1.3,6.4,1.9,0,0
Sam Young,2010,0.5,1.8,12.5,78.0,1.5,0.8,7.3,1.9,0,0
Joakim Noah,2010,1.9,3.6,18.8,48.0,3.9,1.9,11.7,6.6,0,0
Nenad Krstić,2010,-0.2,1.7,13.1,71.0,2.1,0.8,8.1,3.0,0,0
Shannon Brown,2010,0.5,1.9,13.6,82.0,1.2,0.9,8.7,1.5,0,0
Earl Watson,2010,-0.1,0.8,10.2,80.0,1.0,1.5,4.3,1.6,0,0
Randy Foye,2010,0.1,0.8,11.4,63.0,2.4,1.5,9.8,1.4,0,0
James Jones,2010,1.2,1.7,11.1,81.0,0.9,0.3,5.9,1.7,0,0
Maurice Evans,2010,-0.5,0.7,9.1,73.0,0.8,0.5,6.3,1.4,0,0
Marcus Camby,2010,1.4,3.0,14.8,59.0,1.2,1.1,4.7,7.2,0,0
Tyler Hansbrough,2010,0.0,1.6,16.4,70.0,3.6,1.1,11.0,3.2,0,0
Nick Collison,2010,0.3,1.5,10.8,71.0,1.0,0.8,4.6,2.8,0,0
JJ Redick,2010,1.2,1.8,12.8,59.0,2.2,0.9,10.1,1.8,0,0
Corey Brewer,2010,-0.1,1.3,11.0,69.0,2.8,1.3,8.0,1.7,0,0
Ersan İlyasova,2010,0.5,2.7,14.3,60.0,1.7,1.1,9.5,4.3,0,0
Andrew Bynum,2010,2.0,2.8,21.1,54.0,3.9,1.4,11.3,6.3,0,0
Richard Hamilton,2010,0.1,0.2,15.8,55.0,3.1,1.6,14.1,1.9,0,0
Jerryd Bayless,2010,0.1,0.3,14.1,71.0,2.9,1.8,9.2,2.0,0,0
Tony Allen,2010,2.1,2.7,18.4,72.0,2.5,1.2,8.9,1.7,0,0
Joel Anthony,2010,0.2,2.1,7.3,75.0,1.0,0.5,2.0,2.2,0,0
Keith Bogans,2010,0.7,2.2,9.0,82.0,0.4,0.5,4.4,1.6,0,0
Austin Daye,2010,0.3,0.9,13.0,72.0,1.5,0.8,7.5,2.9,0,0
Matt Bonner,2010,1.4,1.4,13.5,66.0,0.7,0.4,7.3,2.7,0,0
Ryan Anderson,2010,2.4,2.5,19.0,64.0,1.8,0.8,10.6,3.5,0,0
Hakim Warrick,2010,0.3,0.8,16.5,80.0,3.7,1.0,8.4,2.6,0,0
Sonny Weems,2010,-0.9,0.0,10.2,59.0,1.6,1.5,9.2,1.9,0,0
Corey Maggette,2010,0.5,1.9,15.8,67.0,4.9,1.9,12.0,2.9,0,0
Andris Biedriņš,2010,-0.1,1.5,12.1,59.0,0.5,1.0,5.0,4.8,0,0
Leandro Barbosa,2010,0.2,0.1,15.3,58.0,2.4,1.4,13.3,1.5,0,0
Antonio McDyess,2010,0.4,2.1,12.8,73.0,1.1,1.0,5.3,3.7,0,0
Francisco García,2010,1.0,1.1,13.5,58.0,1.3,0.8,9.7,1.9,0,0
Al Thornton,2010,-0.4,0.6,11.7,71.0,2.0,0.9,7.4,2.2,0,0
Anthony Tolliver,2010,0.7,0.7,13.3,65.0,2.0,0.8,6.7,3.1,0,0
Brendan Haywood,2010,0.0,2.1,11.7,72.0,2.5,0.7,4.4,3.4,0,0
Shawne Williams,2010,0.4,1.1,12.2,64.0,0.8,0.7,7.1,2.8,0,0
Brandon Roy,2010,0.6,0.9,13.9,47.0,2.9,1.2,12.2,2.0,0,0
Aaron Brooks,2010,-0.3,0.4,13.1,59.0,2.4,1.7,10.7,1.0,0,0
Nazr Mohammed,2010,-0.3,1.6,15.9,75.0,1.5,0.9,7.1,3.0,0,0
Shaun Livingston,2010,0.7,1.2,14.3,73.0,1.7,1.2,6.6,1.6,0,0
Zaza Pachulia,2010,-0.2,1.6,12.4,79.0,2.3,0.9,4.4,2.7,0,0
Ben Wallace,2010,0.6,1.4,12.3,54.0,1.1,0.8,2.9,4.1,0,0
Goran Dragić,2010,0.2,0.8,13.2,70.0,1.9,1.7,7.5,1.5,0,0
Kenyon Martin,2010,0.9,1.6,14.1,48.0,1.5,1.2,8.6,4.8,0,0
Eric Maynor,2010,0.1,0.8,11.7,82.0,0.7,0.9,4.2,1.2,0,0
Carlos Arroyo,2010,-0.1,1.1,9.0,64.0,0.7,0.9,4.8,1.3,0,0
Ryan Hollins,2010,-0.7,0.5,10.7,70.0,2.3,1.0,5.3,1.7,0,0
Wayne Ellington,2010,-0.5,0.1,8.6,62.0,0.9,0.9,6.6,1.3,0,0
Kurt Thomas,2010,0.4,2.6,10.0,52.0,0.6,0.8,4.1,4.3,0,0
Vladimir Radmanović,2010,0.6,0.9,12.6,74.0,0.5,0.8,5.1,2.0,0,0
DeShawn Stevenson,2010,0.5,1.0,9.8,72.0,0.6,0.6,5.3,1.2,0,0
Zydrunas Ilgauskas,2010,-0.2,1.9,12.8,72.0,0.6,0.7,5.0,2.5,0,0
Ronny Turiaf,2010,1.0,1.1,13.6,64.0,1.5,0.6,4.2,2.2,0,0
Donté Greene,2010,-0.1,0.8,9.7,69.0,0.9,0.9,5.8,1.4,0,0
Jordan Hill,2010,-0.7,1.0,13.1,72.0,1.2,0.9,5.6,2.5,0,0
Will Bynum,2010,0.0,0.4,15.2,61.0,2.0,1.4,7.9,1.0,0,0
Alonzo Gee,2010,-0.1,0.6,10.8,56.0,1.6,1.0,5.9,2.1,0,0
Yi Jianlian,2010,-0.9,0.8,10.1,63.0,1.4,0.8,5.6,2.7,0,0
Mickaël Piétrus,2010,0.3,1.0,9.8,57.0,1.0,0.7,7.2,1.9,0,0
Jason Smith,2010,-0.4,1.4,10.8,77.0,0.9,0.7,4.3,2.0,0,0
Martell Webster,2010,0.2,0.3,12.4,46.0,2.7,1.3,9.8,2.4,0,0
C.J. Watson,2010,0.5,2.0,12.8,82.0,1.1,0.9,4.9,1.0,0,0
Jamario Moon,2010,0.2,0.7,10.1,59.0,0.3,0.4,4.3,2.4,0,0
Linas Kleiza,2010,-0.7,0.2,10.1,39.0,1.7,1.7,11.2,3.6,0,0
Matt Barnes,2010,0.7,1.6,14.6,53.0,1.5,1.1,6.7,2.9,0,0
Brad Miller,2010,1.2,1.0,16.3,60.0,1.6,0.9,6.4,3.0,0,0
Nate Robinson,2010,-0.2,1.5,10.0,59.0,0.7,1.2,6.8,1.3,0,0
Chris Wilcox,2010,0.2,0.8,18.0,57.0,1.6,0.8,7.4,3.1,0,0
Anderson Varejão,2010,0.3,0.9,15.2,31.0,2.6,1.3,9.1,6.5,0,0
Robin Lopez,2010,-0.5,0.8,13.9,67.0,1.5,0.7,6.4,2.0,0,0
Jonny Flynn,2010,-1.1,0.2,7.1,53.0,0.8,2.1,5.3,1.2,0,0
Eddie House,2010,0.4,1.2,11.9,56.0,0.7,0.5,6.5,1.5,0,0
Jeff Teague,2010,0.6,1.2,14.6,70.0,1.4,0.9,5.2,1.3,0,0
Stephen Graham,2010,-1.2,0.4,4.4,59.0,0.6,0.6,3.4,1.8,0,0
Quentin Richardson,2010,0.1,1.5,8.1,57.0,0.8,0.6,4.4,2.4,0,0
Jeff Foster,2010,0.4,1.4,14.3,56.0,0.9,0.5,3.3,3.4,0,0
Marquis Daniels,2010,0.6,1.7,11.7,49.0,1.2,0.8,5.5,1.8,0,0
Andrés Nocioni,2010,-0.1,1.1,10.1,54.0,1.1,0.9,6.1,2.8,0,0
Jason Maxiell,2010,-0.6,0.4,9.4,57.0,1.7,0.8,4.2,1.9,0,0
Shelden Williams,2010,-0.2,1.1,12.3,59.0,1.3,0.7,4.5,3.1,0,0
Josh Childress,2010,0.3,0.6,13.0,54.0,1.1,0.8,5.0,1.6,0,0
Johan Petro,2010,-0.6,1.1,9.9,77.0,0.4,0.6,3.5,1.9,0,0
Chris Douglas-Roberts,2010,0.1,1.3,11.5,44.0,2.0,0.8,7.3,1.8,0,0
Caron Butler,2010,0.2,1.0,14.2,29.0,3.0,1.7,15.0,3.3,0,0
Earl Boykins,2010,1.0,1.1,17.6,57.0,1.4,0.9,7.2,0.7,0,0
Tyrus Thomas,2010,0.3,1.5,18.2,41.0,3.3,1.6,10.2,3.9,0,0
Drew Gooden,2010,0.2,1.5,15.9,35.0,2.9,1.3,11.3,4.7,0,0
James Posey,2010,0.0,1.0,7.5,49.0,0.3,0.5,4.9,2.8,0,0
Mike Miller,2010,0.1,1.2,9.7,41.0,0.8,1.0,5.6,3.6,0,0
Chris Kaman,2010,0.1,1.1,15.7,32.0,1.8,1.8,12.4,5.4,0,0
James Johnson,2010,0.3,0.8,12.6,38.0,1.9,1.7,7.1,2.8,0,0
Erick Dampier,2010,0.4,1.4,9.7,51.0,0.9,0.6,2.5,2.4,0,0
Reggie Evans,2010,0.1,0.8,12.4,30.0,2.9,1.3,4.4,7.5,0,0
A.J. Price,2010,-0.2,0.7,10.7,50.0,1.6,1.1,6.5,1.1,0,0
Henry Walker,2010,0.0,0.4,11.3,61.0,0.7,0.6,4.9,1.7,0,0
