Player,Season,VORP,DWS,PER,G,FTA,TOV,PTS,DRB,AllNBA,Class
Sedale Threatt,1988,1.0,1.2,16.3,63.0,1.2,1.2,8.6,1.4,0,0
Spud Webb,1988,0.7,1.3,13.0,81.0,0.7,1.0,3.9,1.3,0,0
Brad Lohaus,1988,-0.5,1.1,11.6,77.0,1.3,1.0,6.5,2.2,0,0
Scott Hastings,1988,-0.4,1.1,9.4,75.0,1.4,0.9,5.1,2.1,0,0
Craig Hodges,1988,0.9,0.8,14.5,59.0,1.0,1.0,9.0,1.1,0,0
Kenny Walker,1988,0.2,1.2,11.8,79.0,1.1,0.6,5.3,1.6,0,0
Purvis Short,1988,0.0,1.4,11.4,65.0,1.4,1.1,7.4,1.8,0,0
Charles Jones,1988,0.0,1.5,7.4,53.0,0.5,0.7,2.6,3.4,0,0
Darwin Cook,1988,-0.1,1.1,11.8,66.0,1.2,1.3,7.7,1.1,0,0
Mark Alarie,1988,0.0,1.0,13.3,74.0,1.2,0.8,6.7,2.1,0,0
Jim Paxson,1988,-0.3,0.5,11.5,57.0,1.8,1.0,8.6,1.0,0,0
Randy Wittman,1988,-0.2,0.2,8.7,64.0,0.6,0.5,4.5,0.8,0,0
Dallas Comegys,1988,-0.3,1.1,11.9,67.0,2.4,1.3,6.5,1.8,0,0
Pat Cummings,1988,-0.7,1.1,11.0,53.0,1.8,2.1,8.8,3.7,0,0
Darnell Valentine,1988,0.1,1.5,11.5,77.0,1.5,1.1,4.8,1.1,0,0
Ralph Sampson,1988,-0.2,1.4,11.4,61.0,1.6,1.5,6.4,3.3,0,0
Johnny Dawkins,1988,0.2,0.8,13.4,32.0,3.5,3.5,14.2,2.2,0,0
Richard Anderson,1988,0.6,1.2,12.0,72.0,0.5,0.8,5.2,2.3,0,0
Bill Wennington,1988,-0.8,1.2,8.8,65.0,1.3,0.8,4.6,3.1,0,0
Pearl Washington,1988,0.3,1.0,13.0,54.0,1.9,2.3,7.6,1.4,0,0
Terry Tyler,1988,-0.1,1.0,12.3,70.0,0.9,0.7,5.5,1.9,0,0
Mike Brown,1988,-0.6,1.8,8.4,66.0,2.0,1.2,4.5,2.5,0,0
Gerald Henderson,1988,-0.1,0.3,12.1,65.0,2.0,1.1,6.5,0.8,0,0
Bob Hansen,1988,0.0,1.5,9.7,46.0,1.6,0.9,7.4,2.2,0,0
Danny Young,1988,0.5,0.8,11.8,48.0,1.3,0.9,6.2,1.2,0,0
Greg Kite,1988,-0.8,0.9,6.3,70.0,0.6,0.8,2.1,2.3,0,0
Kiki Vandeweghe,1988,0.1,0.4,13.7,45.0,2.0,0.9,11.1,1.0,0,0
John Long,1988,-0.5,0.4,9.5,68.0,1.1,0.8,5.5,0.9,0,0
Steve Alford,1988,-0.1,0.7,11.9,66.0,0.9,0.7,5.5,0.9,0,0
