Player,Season,TS%,WS/48,VORP,PTS,TRB,AST,STL,BLK,AllNBA
Ledell Eackles,1988,0.519,0.07,0.1,11.5,2.3,1.5,0.5,0.1,0
John Salley,1988,0.558,0.115,1.0,7.0,5.0,1.1,0.6,1.1,0
Joe Wolf,1988,0.449,-0.016,-1.3,5.8,4.1,1.7,0.5,0.2,0
Steve Colter,1988,0.503,0.105,0.9,6.7,2.3,2.8,0.9,0.2,0
Dave Hoppen,1988,0.604,0.086,-0.5,6.5,5.0,0.7,0.3,0.3,0
Joe Kleine,1988,0.485,0.035,-0.9,6.5,5.0,0.9,0.4,0.3,0
Ricky Berry,1988,0.552,0.083,0.1,11.0,3.1,1.3,0.6,0.3,0
Dave Greenwood,1988,0.493,0.076,-0.2,7.0,6.0,1.4,0.7,0.8,0
Brad Davis,1988,0.574,0.094,0.4,6.4,1.4,3.1,0.6,0.2,0
Scott Brooks,1988,0.533,0.103,1.1,5.2,1.1,3.7,0.8,0.0,0
Rod Strickland,1988,0.539,0.131,1.4,8.9,2.0,3.9,1.2,0.0,0
Walter Berry,1988,0.54,0.085,0.3,8.8,3.9,1.1,0.4,0.7,0
Dan Majerle,1988,0.479,0.09,0.8,8.6,3.9,2.4,1.2,0.3,0
Tim Kempton,1988,0.568,0.036,-0.5,6.1,3.8,1.3,0.5,0.2,0
Jon Sundvold,1988,0.506,0.037,-0.1,10.4,1.3,2.0,0.4,0.0,0
Norm Nixon,1988,0.454,-0.013,-0.8,6.8,1.5,6.4,0.9,0.0,0
Blair Rasmussen,1988,0.476,0.065,-0.8,7.6,3.7,0.6,0.4,0.5,0
Reggie Williams,1988,0.496,0.014,-0.2,10.2,2.8,1.6,1.3,0.5,0
Derek Smith,1988,0.491,0.033,-0.3,8.7,2.6,2.0,0.7,0.4,0
Caldwell Jones,1988,0.481,0.031,-0.3,2.8,4.2,0.8,0.3,1.2,0
Sidney Green,1988,0.52,0.075,-0.2,6.3,4.8,0.9,0.6,0.2,0
Tim McCormick,1988,0.521,0.075,-0.4,5.2,3.2,0.7,0.2,0.3,0
James Edwards,1988,0.547,0.109,-0.2,7.3,3.0,0.6,0.1,0.4,0
Fred Roberts,1988,0.555,0.077,0.1,5.9,2.9,0.9,0.5,0.3,0
Sedale Threatt,1988,0.533,0.135,1.0,8.6,1.9,3.8,1.3,0.1,0
Sylvester Gray,1988,0.471,0.028,-0.2,8.0,5.2,2.1,0.7,0.5,0
Spud Webb,1988,0.504,0.088,0.7,3.9,1.5,3.5,0.9,0.1,0
Brad Lohaus,1988,0.472,0.034,-0.5,6.5,3.3,0.9,0.4,0.7,0
Scott Hastings,1988,0.515,0.061,-0.4,5.1,3.1,0.8,0.4,0.6,0
Craig Hodges,1988,0.581,0.117,0.9,9.0,1.5,2.5,0.7,0.1,0
Harvey Grant,1988,0.477,0.07,0.0,5.6,2.3,1.1,0.5,0.4,0
Kenny Walker,1988,0.533,0.112,0.2,5.3,2.9,0.5,0.5,0.6,0
Purvis Short,1988,0.464,0.058,0.0,7.4,2.8,1.6,0.7,0.2,0
Charles Jones,1988,0.5,0.068,0.0,2.6,4.8,0.8,0.7,1.4,0
Darwin Cook,1988,0.495,0.039,-0.1,7.7,1.6,1.9,1.1,0.2,0
Mark Alarie,1988,0.531,0.093,0.0,6.7,3.4,0.9,0.3,0.3,0
Jim Paxson,1988,0.502,0.053,-0.3,8.6,1.3,1.9,0.7,0.1,0
Randy Wittman,1988,0.479,0.031,-0.2,4.5,1.3,1.7,0.4,0.0,0
Dallas Comegys,1988,0.532,0.06,-0.3,6.5,3.5,0.4,0.6,0.9,0
Pat Cummings,1988,0.534,0.026,-0.7,8.8,5.3,0.9,0.5,0.3,0
Darnell Valentine,1988,0.497,0.074,0.1,4.8,1.3,2.3,0.7,0.1,0
Ralph Sampson,1988,0.483,0.048,-0.2,6.4,5.0,1.3,0.5,1.1,0
Johnny Dawkins,1988,0.505,0.044,0.2,14.2,3.2,7.0,1.7,0.0,0
Richard Anderson,1988,0.509,0.093,0.6,5.2,3.2,1.4,0.6,0.2,0
Bill Wennington,1988,0.482,0.056,-0.8,4.6,4.4,0.7,0.2,0.5,0
Pearl Washington,1988,0.475,0.021,0.3,7.6,2.3,4.2,1.4,0.1,0
Terry Tyler,1988,0.498,0.055,-0.1,5.5,3.0,0.6,0.3,0.6,0
Mike Brown,1988,0.491,0.064,-0.6,4.5,3.9,0.6,0.4,0.3,0
Gerald Henderson,1988,0.526,0.055,-0.1,6.5,1.0,2.2,0.6,0.0,0
Bob Hansen,1988,0.512,0.083,0.0,7.4,2.8,1.1,0.8,0.1,0
Danny Young,1988,0.534,0.091,0.5,6.2,1.5,2.6,1.1,0.1,0
Danny Manning,1988,0.538,0.034,0.2,16.7,6.6,3.1,1.7,1.0,0
John Shasky,1988,0.555,0.097,-0.1,5.5,3.6,0.3,0.2,0.2,0
Greg Kite,1988,0.444,0.005,-0.8,2.1,3.5,0.5,0.4,0.8,0
